inventor_id,name,country
boq3sxbqplydlcjalrotrcyvk,Michael Joseph Tomaino-Iannucci,US
bpnh437kxe0clt6lgi85smkcz,Sotirios Mamalis,US
bq2zkiy4osgjcuq6xsitsj7v5,Evgenia Voskresenskaya Strudell,US
bslvzsk35d9vwga17ya3624m8,Algirdas {hacek over (S)}a{hacek over (c)}kus,LT
bu1500nmeqouxufoxp9jaj18v,Veronica Pablo Osorio,US
buzfw1pp3m7mcbc1e6bmkokgg,Elangovan Kembanur Natarajan,US
c5f3s6yxb66ips5e180grfwob,Johann L'Hour,FR
c98k3ipynutqeei6y4mij5pot,Hector Munguia Abundis,MX
c9crl309evf9p98can7ys0y5n,Muhammad Al-Amin Niang,US
cbuvbbphe6jay9cb6dsdlbcum,Jorn Isaksen,DE
clehxabnyld44u4z3srpgcsmt,Neha Sherpa,US
cmvklev8f36z7vv7nncbydf8i,Robert P. LaPan,US
cp6mtp7lsv9a2v2qx5w3cgsyt,Sagi Nidam,US
cpdkgak0upb9i8b7ufl2fgg0b,Arshak Navruzyan,US
cvcnyra9wn28zi51b4ir9gbn5,James Okonek,US
d7izjt7odfc4aib10p9woynss,Ferdinando Anthony Lauriente,US
d7vs9sxz97f9rq4l8s23fs0wk,Jonathan Ryan Daneman,US
dg144iips93rpsjnwr6mg4zcl,Angela Cearns,US
djo1j2updl30n8gloy3scru8m,Heidi Braumueller,DE
dl9fux29y1saihzra4m83xchh,Ginger Shepard,US
dquo2zs0s00zbdejta949rrs7,Robert Maguy,US
dvjgozj7tvxpyozu8ewuck6h2,Feng Chyi Do,TW
dx5ldu1e3m6o3d4ukom21kw2a,R. Radha Krishnan,IN
dx9qmm8mk3rde0t9214vlv4cg,Verona Medina Valencia,MX
e0kcefgn3rbv3oes1vsko4beb,Marc Anthony Zampino,US
e2cyq3hy6bcasv8120z8zh6yr,Appasaheb Ajit Ghali,IN
e5twmvoyhgddjicr4gcuouxkv,Niranjan,US
e99mpdp2v4w7h5plevdwonbl8,Jake Kirshner,US
eb06ptxy4ctohvnrtryishu7m,Peter Reiher,US
ebqdbx485j2gxbvqepadmt9gv,Morgan Barrera Abney,US
eqzbzkc93p98nej27rdao7q1o,Bruce Fushey LaClair,US
eu8mb8wcfb3fky3zgki79e78h,Tara Victoria Ostrowski,US
evqf4p6s2td4mol5zinnof37t,Peyman Aleboyeh,FR
evx8grutb4cjehnym8b22nx7i,Hussam Ahmed P,IN
f15edhl430xbnreeqdhr4edyf,Jan Inghels,NL
f1jghzveet5f2bs12whn58q65,Guido Rensen,NL
fdou3guuq1f7m9u9vlcxlol88,Venkatraman Kalyanapasupathy,IN
feaq9f6uoy3d9qkh34w9a8zkq,Lindsay Tien-Li Chim,US
ffjl8fzg3en34mxs6ahaw9kfb,Hakan Evircan,US
fgg57cl7gyxoz5wbr6dwgotuo,David Aronchick,US
fgsvh71c1cvfq9jqdklx97l0c,Bharti Parasher,US
fhslowlxwwu4xmoet6l6ediv6,Jon Loglisci,US
fl:3r_ln:johanson-1,3ric Johanson,US
fl:a-_ln:cha-2,A-Ran Cha,KR
fl:a-_ln:lee-7,A-Ryoung Lee,KR
fl:a._ln:andrews-1,A. Ballard Andrews,US
fl:a._ln:erpelding-1,A. David Erpelding,US
fl:a._ln:flores-2,A. Arturo Flores,US
fl:a._ln:gibson-1,A. David Gibson,US
fl:a._ln:hettinger-1,A. Zachary Hettinger,US
fl:a._ln:indrasekara-1,A. Swarnapali D. S. Indrasekara,US
fl:a._ln:kelts-1,A. David Kelts,US
fl:a._ln:uluagac-1,A. Selcuk Uluagac,US
fl:a._ln:weinhardt-1,A. Daniel Weinhardt,CA
fl:a_ln:han-3,A Reum Han,KR
fl:a_ln:reza-1,A M Sohaib Reza,BD
fl:a_ln:song-3,A Ree SONG,KR
fl:aa_ln:abroff-1,Aaron Abroff,US
fl:aa_ln:adcock-1,Aaron Bryan Adcock,US
fl:aa_ln:almeida-1,Aaron Almeida,US
fl:aa_ln:amstutz-1,Aaron Kenneth Amstutz,US
fl:aa_ln:armstrong-1,Aaron Armstrong,US
fl:aa_ln:ayers-1,Aaron Robert Ayers,US
fl:aa_ln:baldwin-1,Aaron Baldwin,US
fl:aa_ln:barere-1,Aaron Barere,US
fl:aa_ln:bartrim-1,Aaron Bartrim,US
fl:aa_ln:bates-3,Aaron L. Bates,US
fl:aa_ln:baughman-2,Aaron K. Baughman,US
fl:aa_ln:beese-1,Aaron P. Beese,US
fl:aa_ln:beiler-1,Aaron Jay Beiler,US
fl:aa_ln:bennett-2,Aaron P. Bennett,US
fl:aa_ln:bentz-1,Aaron R. Bentz,US
fl:aa_ln:berez-1,Aaron Lee Berez,US
fl:aa_ln:berke-1,Aaron Berke,US
fl:aa_ln:beuterbaugh-1,Aaron Michael Beuterbaugh,US
fl:aa_ln:bindlish-1,Aarti Bindlish,US
fl:aa_ln:bingham-1,Aaron Bingham,US
fl:aa_ln:boodman-1,Aaron Boodman,US
fl:aa_ln:bouillet-1,Aaron Reel Bouillet,US
fl:aa_ln:brady-2,Aaron Wai-Chi Brady,US
fl:aa_ln:bratslavsky-1,Aaron Bratslavsky,US
fl:aa_ln:bright-2,Aaron M. Bright,US
fl:aa_ln:brown-4,Aaron Brown,US
fl:aa_ln:bruns-1,Aaron J. Bruns,US
fl:aa_ln:bryant-1,Aaron Bryant,US
fl:aa_ln:budrevich-1,Aaron A. Budrevich,US
fl:aa_ln:burch-1,Aaron Burch,CA
fl:aa_ln:burry-2,Aaron Michael Burry,US
fl:aa_ln:caffee-1,Aaron J. Caffee,US
fl:aa_ln:callard-1,Aaron Callard,CA
fl:aa_ln:chan-2,Aaron Scott Chan,US
fl:aa_ln:clark-3,Aaron Clark,US
fl:aa_ln:cohen-3,Aaron M. Cohen,US
fl:aa_ln:coleman-1,Aaron R. Coleman,US
fl:aa_ln:cox-2,Aaron J. Cox,US
fl:aa_ln:cox-6,Aaron R. Cox,US
fl:aa_ln:crawford-1,Aaron Douglas Crawford,US
fl:aa_ln:daly-1,Aaron Daly,US
fl:aa_ln:davidson-2,Aaron Samuel Davidson,AU
fl:aa_ln:deckard-2,Aaron D. Deckard,US
fl:aa_ln:dilbeck-1,Aaron C. Dilbeck,US
fl:aa_ln:dipietro-1,Aaron Di Pietro,CA
fl:aa_ln:dykstra-1,Aaron James Dykstra,US
fl:aa_ln:edsinger-1,Aaron Edsinger,US
fl:aa_ln:elliott-1,Aaron J. ELLIOTT,CA
fl:aa_ln:engelhall-2,Aaron Mathew Engel-Hall,US
fl:aa_ln:eppolito-1,Aaron M. Eppolito,US
fl:aa_ln:erbeck-1,Aaron M. Erbeck,US
fl:aa_ln:feaver-1,Aaron M. Feaver,US
fl:aa_ln:feiner-1,Aaron Feiner,US
fl:aa_ln:feustel-1,Aaron Feustel,US
fl:aa_ln:figg-1,Aaron Figg,GB
fl:aa_ln:finke-2,Aaron M. Finke,US
fl:aa_ln:foege-1,Aaron Gamache Foege,US
fl:aa_ln:franco-1,Aaron Gerard Franco,US
fl:aa_ln:friedlein-1,Aaron Friedlein,US
fl:aa_ln:fryzek-1,Aaron P. Fryzek,US
fl:aa_ln:furman-1,Aaron Douglas Furman,US
fl:aa_ln:ganick-1,Aaron Ganick,US
fl:aa_ln:gawlik-1,Aaron Gawlik,US
fl:aa_ln:germain-1,Aaron Germain,US
fl:aa_ln:goenka-1,Aakash Goenka,GB
fl:aa_ln:goldsmith-1,Aaron Goldsmith,US
fl:aa_ln:gorius-1,Aaron Gorius,US
fl:aa_ln:greenfield-1,Aaron L. Greenfield,US
fl:aa_ln:griset-2,Aaron P. Griset,US
fl:aa_ln:gupta-8,Aayush Gupta,US
fl:aa_ln:haney-1,Aaron Haney,US
fl:aa_ln:harale-1,Aadesh Harale,SA
fl:aa_ln:harpole-1,Aaron Harpole,US
fl:aa_ln:harshbarger-1,Aaron H. Harshbarger,US
fl:aa_ln:helal-1,Aasif Helal,IN
fl:aa_ln:hepler-1,Aaron Hepler,US
fl:aa_ln:hertzmann-1,Aaron Hertzmann,US
fl:aa_ln:hill-3,Aaron Hill,US
fl:aa_ln:hsueh-1,Aaron J. W. Hsueh,US
fl:aa_ln:huber-1,Aaron D. Huber,US
fl:aa_ln:hunter-3,Aaron Muir Hunter,US
fl:aa_ln:jain-4,Aastha Jain,US
fl:aa_ln:johnson-4,Aaron H. Johnson,US
fl:aa_ln:kennington-1,Aaron B. Kennington,US
fl:aa_ln:kephart-1,Aaron D. Kephart,US
fl:aa_ln:khandekar-1,Aamod Khandekar,US
fl:aa_ln:kimball-1,Aaron Kimball,US
fl:aa_ln:kolli-1,Aasheesh Kolli,US
fl:aa_ln:kovell-1,Aaron M. Kovell,US
fl:aa_ln:kromer-1,Aaron Kromer,US
fl:aa_ln:kumar-1,Aarti Kumar,US
fl:aa_ln:lamb-2,Aaron Douglass LAMB,US
fl:aa_ln:lautenbach-1,Aaron G. Lautenbach,US
fl:aa_ln:lee-3,Aaron Kwong Yue Lee,US
fl:aa_ln:lee-7,Aaron Lee,US
fl:aa_ln:leiba-1,Aaron Leiba,US
fl:aa_ln:leu-1,Aaron Ta-Tsung Leu,US
fl:aa_ln:lilak-1,Aaron D. Lilak,US
fl:aa_ln:logan-2,Aaron W. Logan,US
fl:aa_ln:lorin-1,Aaron E. Lorin,US
fl:aa_ln:mahajan-2,Aashu Mahajan,US
fl:aa_ln:malenfant-1,Aaron Malenfant,US
fl:aa_ln:marshall-3,Aaron D. Marshall,US
fl:aa_ln:martin-3,Aaron Martin,US
fl:aa_ln:matyas-1,Aaron J. Matyas,US
fl:aa_ln:meyer-4,Aaron Samuel Meyer,US
fl:aa_ln:misener-1,Aaron Misener,US
fl:aa_ln:montgomery-1,Aaron Shawn Montgomery,US
fl:aa_ln:morgan-2,Aaron Michael Morgan,US
fl:aa_ln:mosher-1,Aaron Y. Mosher,US
fl:aa_ln:nair-1,Aakarsh Nair,US
fl:aa_ln:nardi-1,Aaron T. Nardi,US
fl:aa_ln:nielsen-1,Aaron David Nielsen,CA
fl:aa_ln:nilsen-2,Aaron Nilsen,US
fl:aa_ln:nysse-1,Aaron J. Nysse,US
fl:aa_ln:o'brien-1,Aaron O'Brien,US
fl:aa_ln:o'toole-1,Aaron O'Toole,US
fl:aa_ln:oakley-2,Aaron John Oakley,GB
fl:aa_ln:parikh-3,Aalap D. Parikh,US
fl:aa_ln:parker-2,Aaron Parker,US
fl:aa_ln:parks-1,Aaron N. Parks,US
fl:aa_ln:partridge-1,Aaron Partridge,US
fl:aa_ln:pavlish-1,Aaron B. Pavlish,US
fl:aa_ln:penn-1,Aaron Penn,US
fl:aa_ln:perez-1,Aaron P. Perez,US
fl:aa_ln:pfitscher-1,Aaron Pfitscher,AT
fl:aa_ln:pradeep-2,Aakash Pradeep,US
fl:aa_ln:quigley-1,Aaron Quigley,GB
fl:aa_ln:quinn-2,Aaron M. Quinn,US
fl:aa_ln:quirk-1,Aaron J. Quirk,US
fl:aa_ln:qureshi-1,Aamir Qureshi,GB
fl:aa_ln:radomski-1,Aaron T. Radomski,US
fl:aa_ln:raymond-2,Aaron S. Raymond,US
fl:aa_ln:reed-2,Aaron H. Reed,US
fl:aa_ln:rehaag-1,Aaron-Kenneth Karl Rehaag,CA
fl:aa_ln:rickis-1,Aaron F. Rickis,US
fl:aa_ln:rieke-1,Aaron Rieke,US
fl:aa_ln:rogers-4,Aaron Stanley Rogers,US
fl:aa_ln:rositch-1,Aaron J. Rositch,US
fl:aa_ln:salesman-1,Aaron Salesman,US
fl:aa_ln:sanders-2,Aaron Sanders,US
fl:aa_ln:saraf-1,Aashish Ashokrao Saraf,IN
fl:aa_ln:sawdey-1,Aaron C. Sawdey,US
fl:aa_ln:sayre-1,Aaron Sayre,US
fl:aa_ln:schetter-1,Aaron J. Schetter,US
fl:aa_ln:schmitt-1,Aaron C. Schmitt,US
fl:aa_ln:schuler-1,Aaron D. Schuler,US
fl:aa_ln:schurman-1,Aaron Schurman,US
fl:aa_ln:segstro-1,Aaron J. Segstro,CA
fl:aa_ln:senneff-1,Aaron Matthew Senneff,US
fl:aa_ln:shatters-1,Aaron R. Shatters,US
fl:aa_ln:singh-4,Aameek Singh,US
fl:aa_ln:sippel-1,Aaron D. Sippel,US
fl:aa_ln:smith-1,Aaron Ezekiel Smith,US
fl:aa_ln:smith-12,Aaron L. Smith,US
fl:aa_ln:smith-2,Aaron Matthew Smith,US
fl:aa_ln:solomon-1,Aaron Solomon,FR
fl:aa_ln:staley-2,Aaron Staley,US
fl:aa_ln:stein-3,Aaron M. Stein,US
fl:aa_ln:sternbach-1,Aaron Sternbach,US
fl:aa_ln:stewart-1,Aaron Michael Stewart,US
fl:aa_ln:stoker-1,Aaron Stoker,US
fl:aa_ln:strunk-1,Aaron R. Strunk,US
fl:aa_ln:sundberg-1,Aarne Sundberg,FI
fl:aa_ln:swick-1,Aaron Michael Swick,US
fl:aa_ln:taney-1,Aaron Taney,US
fl:aa_ln:tomer-1,Aaron Tomer,IL
fl:aa_ln:vandermeulen-1,Aaron H. VanderMeulen,US
fl:aa_ln:vandervoort-1,Aart-Jan van der Voort,NL
fl:aa_ln:vanhalteren-1,Aart Zeger van Halteren,NL
fl:aa_ln:vasgaard-1,Aaron J. Vasgaard,US
fl:aa_ln:voegele-1,Aaron C. Voegele,US
fl:aa_ln:vorel-1,Aaron Lavene Vorel,US
fl:aa_ln:wadke-1,Aashish Wadke,US
fl:aa_ln:wallack-1,Aaron S. Wallack,US
fl:aa_ln:weast-1,Aaron B. Weast,US
fl:aa_ln:weiss-3,Aaron M. Weiss,US
fl:aa_ln:wellman-1,Aaron Wellman,US
fl:aa_ln:wells-3,Aaron Wells,US
fl:aa_ln:weyer-1,Aaron P. Weyer,US
fl:aa_ln:wiest-1,Aaron Wiest,US
fl:aa_ln:williamson-1,Aaron Williamson,US
fl:aa_ln:wilson-1,Aaron Lamar Wilson,US
fl:aa_ln:wolfe-1,Aaron R. Wolfe,US
fl:aa_ln:wong-2,Aaron Wong,AU
fl:aa_ln:woosley-1,Aaron T. Woosley,US
fl:aa_ln:yarbrough-1,Aaron A. Yarbrough,US
fl:aa_ln:yeaton-1,Aaron James Yeaton,US
fl:aa_ln:yip-1,Aaron Yip,US
fl:aa_ln:yonts-1,Aaron N. Yonts,US
fl:aa_ln:zhang-1,Aaron Zhang,US
fl:ab_ln:abbas-2,Abdennour Abbas,US
fl:ab_ln:acharya-2,Abhinav Acharya,US
fl:ab_ln:agarwal-7,Abhishek Agarwal,US
fl:ab_ln:agrawal-5,Abhishek Agrawal,US
fl:ab_ln:ahmad-6,Abu Supian Bin Ahmad,MY
fl:ab_ln:ahmed-16,Abdulrhman M. S. Ahmed,US
fl:ab_ln:ahmed-5,Abu Shohel Ahmed,FI
fl:ab_ln:ahsan-2,Abou Ul Aala Ahsan,US
fl:ab_ln:ainamumuney-1,Abimbola Aina-Mumuney,US
fl:ab_ln:aitani-1,Abdullah M. Aitani,SA
fl:ab_ln:akhras-1,Abdul Rahman Zafer Akhras,SA
fl:ab_ln:alabdulhadi-2,Abdullah T. Alabdulhadi,SA
fl:ab_ln:alenizi-2,Abdullah M. Al-Enizi,SA
fl:ab_ln:alexander-1,Abraham Alexander,US
fl:ab_ln:alharith-2,Abdullah Mohammed Al-Harith,SA
fl:ab_ln:alhussien-2,AbdelHakim S. Alhussien,US
fl:ab_ln:ali-10,Abbas Ali,US
fl:ab_ln:aliane-1,Abdelkader Aliane,FR
fl:ab_ln:alshehri-3,Abdallah Awadh Al-Shehri,US
fl:ab_ln:alshehri-7,Abdulelah Alshehri,SA
fl:ab_ln:alsoryai-1,Abdulaziz Nasser Alsoryai,SA
fl:ab_ln:alterki-2,Abdulmohsen E. A. H. Al-Terki,KW
fl:ab_ln:appu-1,Abhishek R. Appu,US
fl:ab_ln:avellan-1,Abel Avellan,US
fl:ab_ln:bairagi-1,Abhijit Kumar Bairagi,IN
fl:ab_ln:bandyopadhyay-3,Abhijit Bandyopadhyay,US
fl:ab_ln:banerjee-5,Abhishek Banerjee,US
fl:ab_ln:bansal-4,Abhinav Bansal,US
fl:ab_ln:barua-1,Abhik Barua,US
fl:ab_ln:basak-2,Abhishek Basak,US
fl:ab_ln:basu-1,Abhinaba Basu,US
fl:ab_ln:bathla-1,Abhishek Bathla,IN
fl:ab_ln:behjat-1,Abdolreza Behjat,US
fl:ab_ln:belani-1,Abhishek Belani,US
fl:ab_ln:bellaouar-1,Abdellatif Bellaouar,US
fl:ab_ln:bhargavspantzel-1,Abhilasha Bhargav-Spantzel,US
fl:ab_ln:bhattacharyya-3,Abhijan Bhattacharyya,IN
fl:ab_ln:bourane-1,Abdennour Bourane,SA
fl:ab_ln:bout-1,Abraham Bout,NL
fl:ab_ln:boutrid-1,Abdel-Kader Boutrid,DE
fl:ab_ln:budakoti-1,Abhay Budakoti,IN
fl:ab_ln:bullock-1,Abel Bullock,US
fl:ab_ln:buzruk-1,Abhishek P. Buzruk,IN
fl:ab_ln:celik-2,Abdullah Celik,TR
fl:ab_ln:chandrashekar-2,Abhiram Saligram Chandrashekar,US
fl:ab_ln:chauhan-5,Abhishek Chauhan,US
fl:ab_ln:choudhury-7,Abhijit Choudhury,US
fl:ab_ln:chowdhury-3,Abdur Chowdhury,US
fl:ab_ln:coban-2,Abdulkerim L. Coban,US
fl:ab_ln:das-11,Abhijit Kumar Das,IN
fl:ab_ln:dauhajre-1,Abraham Alexander Dauhajre,US
fl:ab_ln:deb-2,Abhijit Kumar Deb,NL
fl:ab_ln:deshmukh-5,Abhishek Deshmukh,US
fl:ab_ln:diouf-1,Abdoulaye Diouf,FR
fl:ab_ln:dixit-5,Abhay Dixit,US
fl:ab_ln:domb-3,Abraham J. Domb,IL
fl:ab_ln:dubey-1,Abhishek Dubey,US
fl:ab_ln:dwivedi-2,Abhishek Dwivedi,IN
fl:ab_ln:elias-1,Abel J. ELIAS,CA
fl:ab_ln:elmarouani-1,Abdellah El-Marouani,FR
fl:ab_ln:elmoznine-1,Abdellatif El-Moznine,US
fl:ab_ln:eyuboglu-1,Abbas Sami Eyuboglu,US
fl:ab_ln:farsoni-1,Abdollah T. Farsoni,US
fl:ab_ln:gbadegesin-1,Abolade Gbadegesin,US
fl:ab_ln:geels-1,Abke Geels,NL
fl:ab_ln:ghazal-1,Abdallah Ghazal,AE
